run,qrels,p,all,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
all_res_misinfo-2020_bm25_title.csv,misinfo-qrels-graded.helpful-only,0.95,0.2141,0.2230,0.5490,0.3918,0.2105,0.0212,0.0043,0.0524,0.2429,0.2990,0.0015,0.8895,0.0189,0.4047,0.0735,0.2525,0.0002,0.8223,0.1132,0.2172,0.1249,0.2006,0.0684,0.2256,0.0238,0.0491,0.6231,0.0043,0.0004,0.1409,0.2468,0.0073,0.9442,NA,0.7249,NA,0.0629,0.0045,0.0008,0.0000,0.3097,0.0152,0.0378,0.0000,0.0633,0.0076,NA,0.8193,NA,0.0322,0.3249
all_res_misinfo-2020_bm25_title.csv,misinfo-qrels-graded.harmful-only,0.95,0.0467,0.0000,0.0147,NA,0.0000,NA,0.0366,0.0000,0.0041,0.0021,0.0000,NA,NA,0.2577,0.0372,0.0000,0.0000,0.1240,0.0000,0.2305,0.0054,NA,0.0575,NA,NA,0.2732,NA,0.0113,0.0146,NA,0.0000,0.0001,NA,NA,NA,NA,NA,NA,0.0003,0.0001,0.0688,0.0000,NA,0.0000,0.0168,0.1584,NA,0.0002,NA,0.1308,0.0514
bm25_1,misinfo-qrels-graded.helpful-only,0.95,0.2326,0.1966,0.5659,0.0803,0.0495,0.2704,0.0777,0.4255,0.4872,0.1254,0.3511,0.4996,0.0454,0.3847,0.2211,0.2430,0.2072,0.5559,0.2122,0.0022,0.0758,0.1699,0.2891,0.4430,0.0034,0.0853,0.5428,0.0452,0.0182,0.0256,0.2168,0.1599,0.6778,NA,0.4150,NA,0.0475,0.1059,0.1547,0.0000,0.0478,0.8945,0.0384,0.0000,0.0178,0.0096,NA,0.4436,NA,0.0795,0.6897
bm25_1,misinfo-qrels-graded.harmful-only,0.95,0.0633,0.0000,0.1788,NA,0.0000,NA,0.0034,0.0158,0.0000,0.0599,0.0010,NA,NA,0.0010,0.0629,0.0000,0.0000,0.1720,0.0000,0.2583,0.2017,NA,0.0000,NA,NA,0.2025,NA,0.2893,0.0062,NA,0.0000,0.0124,NA,NA,NA,NA,NA,NA,0.0165,0.0000,0.0004,0.0000,NA,0.0000,0.0615,0.0960,NA,0.0001,NA,0.3847,0.0000
bm25_2,misinfo-qrels-graded.helpful-only,0.95,0.2347,0.2394,0.4100,0.5013,0.1342,0.0558,0.0566,0.1948,0.3132,0.1448,0.0022,0.3999,0.0631,0.0780,0.3536,0.0000,0.1617,0.5097,0.2399,0.0058,0.0370,0.3547,0.2253,0.8720,0.0001,0.0180,0.7336,0.0010,0.0000,0.0000,0.0843,0.0341,0.7710,NA,0.1985,NA,0.0000,0.0523,0.0027,0.0053,0.2085,0.0422,0.8863,0.0000,0.5318,0.0116,NA,0.9322,NA,0.1969,0.7312
bm25_2,misinfo-qrels-graded.harmful-only,0.95,0.0536,0.0000,0.0412,NA,0.0000,NA,0.0608,0.0010,0.0000,0.0473,0.0000,NA,NA,0.0003,0.0699,0.0000,0.0000,0.2570,0.0000,0.0000,0.0196,NA,0.2051,NA,NA,0.2744,NA,0.0736,0.0002,NA,0.0000,0.0703,NA,NA,NA,NA,NA,NA,0.0000,0.0240,0.0025,0.0000,NA,0.0000,0.2516,0.1282,NA,0.0001,NA,0.1868,0.0000
bm25_3,misinfo-qrels-graded.helpful-only,0.95,0.1549,0.1796,0.7012,0.3108,0.1148,0.0082,0.1242,0.0564,0.2395,0.1555,0.0005,0.8114,0.1196,0.0005,0.1003,0.2013,0.0277,0.4675,0.5085,0.1059,0.0105,0.1192,0.0294,0.0050,0.0000,0.0936,0.0795,0.0007,0.0118,0.0001,0.2668,0.0338,0.0000,NA,0.2717,NA,0.0959,0.0468,0.6055,0.0306,0.0793,0.2902,0.0420,0.0000,0.2999,0.0201,NA,0.2602,NA,0.1823,0.0155
bm25_3,misinfo-qrels-graded.harmful-only,0.95,0.0399,0.0027,0.0820,NA,0.0000,NA,0.0052,0.0050,0.0431,0.0024,0.0000,NA,NA,0.0006,0.0756,0.0000,0.0000,0.3276,0.0000,0.0560,0.0318,NA,0.0003,NA,NA,0.0134,NA,0.0000,0.2014,NA,0.0000,0.0001,NA,NA,NA,NA,NA,NA,0.1074,0.0000,0.0000,0.0000,NA,0.0000,0.0433,0.1709,NA,0.0048,NA,0.0598,0.0433
bm25_4,misinfo-qrels-graded.helpful-only,0.95,0.2012,0.3760,0.2013,0.3205,0.1339,0.0003,0.1421,0.2526,0.1048,0.0693,0.0181,0.5666,0.0925,0.0000,0.4358,0.0585,0.0004,0.3180,0.0194,0.0015,0.1799,0.0997,0.1925,0.4083,0.0133,0.0034,0.2557,0.0343,0.0000,0.1211,0.1429,0.1241,0.7921,NA,0.3027,NA,0.0124,0.0000,0.0541,0.0077,0.1593,0.0266,0.7128,0.0000,0.2682,0.0009,NA,0.9036,NA,0.5935,0.7359
bm25_4,misinfo-qrels-graded.harmful-only,0.95,0.0243,0.0000,0.0027,NA,0.0000,NA,0.0018,0.0001,0.0354,0.0010,0.0000,NA,NA,0.0000,0.1072,0.0000,0.0000,0.2384,0.0000,0.0001,0.0077,NA,0.0000,NA,NA,0.0207,NA,0.0929,0.0000,NA,0.0000,0.0006,NA,NA,NA,NA,NA,NA,0.0234,0.0000,0.0081,0.0000,NA,0.0000,0.0748,0.0558,NA,0.0045,NA,0.0971,0.0069
