topic,score1,score2,score3,score4,score5
151,3,4,2,3,4
152,4,5,4,5,4
153,2,3,3,4,2
154,4,3,5,4,4
155,3,4,3,5,4
156,3,4,3,4,3
157,3,4,2,3,4
158,5,4,5,5,4
159,4,5,4,3,5
160,3,4,3,4,3
161,3,4,3,4,3
162,4,4,5,3,4
163,3,4,3,2,4
164,3,4,3,4,3
165,2,3,2,3,2
166,3,4,3,4,3
167,4,5,4,3,5
168,3,4,2,3,4
169,3,4,3,4,2
170,2,3,4,3,4
171,3,4,4,3,5
172,3,4,4,3,3
173,4,3,4,5,4
174,2,3,2,3,2
175,2,3,2,3,2
176,4,5,4,5,3
177,3,4,3,4,3
178,2,3,2,3,2
179,3,4,3,4,2
180,2,2,3,1,2
181,3,4,4,3,2
182,3,4,2,3,4
183,4,5,4,3,4
184,3,4,2,4,3
185,3,4,2,4,3
186,4,3,5,4,4
187,3,4,2,3,4
188,3,4,3,4,5
189,3,4,3,2,4
190,3,4,4,3,4
191,2,1,3,2,1
192,3,4,3,5,4
193,2,3,3,2,3
194,4,3,4,5,4
195,4,5,3,5,4
196,2,3,3,4,2
197,3,4,4,3,5
198,3,4,3,4,3
199,2,3,1,2,2
200,4,5,4,5,4
