topic,score1,score2,score3,score4,score5
101001,3,4,2,4,3
101002,2,3,1,2,3
101003,2,3,2,3,2
101004,2,3,3,2,4
101005,2,3,3,2,4
101006,3,4,3,4,3
102001,3,4,4,3,3
102002,3,2,4,3,2
102003,2,3,2,1,3
102004,2,3,3,2,4
102005,2,3,2,3,2
102006,2,3,2,3,2
103001,3,4,3,4,3
103002,3,4,3,4,2
103003,2,3,2,3,2
103004,3,4,3,3,4
103005,3,4,5,4,3
103006,4,3,4,5,4
104001,2,3,2,1,2
104002,2,3,2,2,3
104003,3,4,2,3,4
104004,2,3,2,3,2
104005,2,3,2,3,2
104006,2,3,2,3,2
105001,3,4,3,4,3
105002,2,3,3,2,4
105003,1,1,2,2,1
105004,2,2,1,3,2
105005,2,3,2,3,2
105006,2,3,3,2,3
106001,3,4,3,4,3
106002,3,4,3,2,4
106003,3,4,3,4,3
106004,4,5,3,4,5
106005,3,4,3,5,4
106006,3,4,3,4,3
107001,4,5,4,5,4
107002,4,4,5,4,5
107003,3,4,2,3,4
107004,4,5,4,5,4
107005,4,3,5,4,4
107006,4,5,4,3,5
108001,3,4,4,3,5
108002,3,4,3,5,4
108003,3,4,3,2,4
108004,3,4,3,4,3
108005,3,4,4,3,5
108006,3,4,3,4,4
109001,3,4,2,3,4
109002,2,3,2,3,2
109003,2,3,3,2,4
109004,1,2,1,1,2
109005,2,3,2,3,2
109006,3,4,3,4,3
110001,3,4,3,4,5
110002,3,4,3,4,3
110003,2,3,3,2,4
110004,3,4,3,5,4
110005,3,4,4,5,3
110006,3,4,3,4,5
111001,2,3,3,2,2
111002,3,4,3,5,4
111003,2,3,2,3,2
111004,3,4,3,4,3
111005,3,4,3,4,3
111006,3,4,3,4,3
112001,3,4,4,3,5
112002,4,3,5,4,4
112003,3,4,4,3,5
112004,4,3,5,4,4
112005,4,5,3,4,4
112006,4,5,5,4,5
113001,4,4,5,3,4
113002,2,3,2,3,2
113003,3,4,2,3,4
113004,4,3,5,4,3
113005,3,4,3,4,3
113006,2,3,2,3,2
114001,2,2,1,3,2
114002,2,3,2,2,3
114003,1,1,1,2,1
114004,2,2,3,3,2
114005,2,3,2,3,2
114006,1,2,1,1,2
115001,2,3,2,3,2
115002,3,4,2,4,3
115003,3,4,3,2,3
115004,3,4,2,3,4
115005,4,4,3,5,4
115006,3,4,4,3,4
116001,3,4,3,4,3
116002,3,4,4,3,5
116003,3,4,3,4,3
116004,3,4,3,4,3
116005,3,4,3,4,3
116006,3,4,2,3,4
117001,3,4,3,4,3
117002,3,4,2,3,4
117003,1,1,1,1,1
117004,3,4,4,5,3
117005,2,3,2,3,3
117006,2,3,2,3,2
118001,2,3,2,3,2
118002,3,4,3,4,3
118003,2,3,2,1,3
118004,2,3,2,3,2
118005,4,5,5,4,5
118006,4,5,4,5,4
119001,3,4,4,3,5
119002,4,3,4,5,4
119003,3,4,3,4,3
119004,4,3,5,4,4
119005,4,3,5,4,4
119006,3,4,3,4,4
120001,1,2,1,2,1
120002,3,4,3,4,2
120003,3,4,3,4,3
120004,2,3,2,3,2
120005,2,3,2,3,2
120006,3,4,4,3,4
121001,2,3,2,3,2
121002,1,2,1,2,1
121003,1,1,2,1,1
121004,3,4,2,3,4
121005,1,1,2,1,1
121006,2,2,1,3,2
122001,2,3,2,2,3
122002,2,3,2,3,2
122003,2,3,2,3,2
122004,2,1,2,3,2
122005,2,3,2,3,4
122006,2,3,2,3,2
123001,3,4,3,4,3
123002,3,4,3,4,2
123003,3,4,3,2,4
123004,2,3,2,3,2
123005,3,4,3,4,3
123006,3,4,3,2,3
124001,2,3,2,3,2
124002,2,3,4,3,2
124003,2,3,3,4,3
124004,3,4,3,4,3
124005,3,4,3,4,3
124006,3,4,3,4,3
125001,3,4,3,4,3
125002,3,4,2,3,4
125003,3,4,3,4,5
125004,3,4,2,3,5
125005,2,3,2,3,3
125006,3,4,3,4,3
126001,2,3,2,4,3
126002,4,3,5,4,4
126003,2,3,2,3,2
126004,1,1,2,1,2
126005,4,3,4,5,3
126006,4,5,4,5,4
127001,2,3,2,3,3
127002,2,3,2,3,2
127003,1,1,2,1,1
127004,2,3,2,3,2
127005,2,3,3,2,3
127006,3,4,3,4,3
128001,4,3,5,4,3
128002,2,3,3,4,3
128003,3,4,2,3,4
128004,4,3,5,4,4
128005,2,3,2,3,2
128006,4,5,4,3,5
129001,3,4,2,3,3
129002,2,3,4,3,2
129003,2,3,2,3,2
129004,3,4,3,2,4
129005,3,4,4,3,5
129006,3,4,3,4,3
130001,3,4,3,4,4
130002,2,3,2,3,2
130003,3,4,3,2,4
130004,2,2,1,3,2
130005,4,3,4,5,4
130006,3,4,3,4,3
131001,3,4,3,4,3
131002,2,3,2,4,2
131003,1,2,1,1,2
131004,2,1,3,2,2
131005,2,2,1,3,2
131006,2,3,2,3,2
132001,2,3,2,3,2
132002,4,3,5,4,3
132003,4,3,5,4,4
132004,2,3,2,3,2
132005,3,4,3,4,3
