topic,score1,score2,score3,score4,score5
151,"[3, 4, 4, 4, 4]","[3, 4, 4, 4, 4]","[2, 3, 4, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]"
152,"[3, 4, 4, 4, 4]","[3, 4, 4, 4, 4]","[3, 4, 4, 4, 4]","[3, 5, 4, 4, 4]","[3, 5, 4, 4, 4]"
153,"[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 4, 3, 3, 3]"
154,"[3, 4, 4, 4, 4]","[3, 4, 3, 4, 4]","[3, 4, 3, 4, 4]","[3, 4, 4, 4, 4]","[2, 4, 3, 3, 4]"
155,"[3, 4, 4, 4, 4]","[3, 4, 4, 4, 4]","[3, 4, 4, 4, 4]","[3, 4, 4, 4, 4]","[3, 4, 4, 4, 4]"
156,"[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[1, 3, 3, 3, 3]"
157,"[2, 3, 2, 2, 3]","[2, 3, 2, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[1, 3, 2, 3, 3]"
158,"[2, 5, 4, 4, 4]","[2, 5, 4, 5, 4]","[3, 5, 4, 4, 4]","[2, 5, 5, 5, 4]","[3, 5, 5, 5, 5]"
159,"[3, 4, 4, 4, 4]","[3, 4, 4, 4, 4]","[3, 4, 4, 4, 4]","[3, 4, 4, 4, 4]","[3, 5, 4, 5, 4]"
160,"[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[3, 4, 3, 3, 4]","[2, 4, 3, 3, 3]","[2, 3, 3, 2, 3]"
161,"[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[3, 4, 3, 3, 4]","[3, 4, 3, 3, 4]","[2, 3, 3, 3, 3]"
162,"[1, 4, 3, 3, 3]","[1, 4, 3, 3, 3]","[1, 4, 3, 3, 3]","[1, 4, 3, 3, 3]","[1, 4, 2, 3, 3]"
163,"[3, 4, 4, 4, 4]","[2, 4, 3, 3, 3]","[3, 4, 4, 4, 4]","[2, 4, 3, 3, 4]","[2, 4, 3, 3, 3]"
164,"[3, 4, 4, 3, 4]","[2, 4, 3, 3, 3]","[2, 4, 3, 3, 3]","[2, 4, 3, 4, 3]","[3, 4, 3, 3, 4]"
165,"[2, 3, 3, 2, 3]","[1, 2, 2, 2, 2]","[2, 3, 2, 3, 3]","[2, 3, 2, 2, 3]","[1, 2, 2, 2, 2]"
166,"[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 4, 3, 3, 3]","[3, 4, 3, 3, 4]"
167,"[3, 4, 4, 4, 4]","[3, 4, 5, 4, 4]","[3, 4, 4, 4, 4]","[3, 5, 4, 4, 4]","[3, 4, 4, 4, 4]"
168,"[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[3, 4, 4, 3, 4]","[2, 3, 3, 3, 3]","[3, 4, 4, 3, 4]"
169,"[3, 4, 3, 3, 4]","[2, 3, 3, 3, 3]","[3, 4, 3, 3, 4]","[3, 4, 4, 3, 4]","[3, 4, 4, 3, 4]"
170,"[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 2, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 2, 3]"
171,"[3, 4, 4, 4, 4]","[3, 4, 4, 4, 4]","[3, 4, 4, 4, 4]","[3, 4, 3, 3, 4]","[3, 4, 4, 4, 4]"
172,"[3, 4, 3, 4, 4]","[2, 4, 3, 3, 3]","[2, 4, 3, 3, 3]","[2, 4, 3, 3, 4]","[3, 4, 3, 4, 4]"
173,"[2, 4, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 4, 3, 3, 3]","[2, 4, 3, 4, 4]","[2, 3, 3, 3, 3]"
174,"[2, 3, 2, 2, 3]","[2, 3, 3, 3, 3]","[2, 3, 2, 2, 3]","[2, 3, 2, 2, 3]","[2, 3, 2, 2, 3]"
175,"[2, 3, 2, 2, 3]","[2, 3, 3, 2, 3]","[2, 3, 2, 2, 3]","[2, 3, 3, 2, 3]","[1, 3, 2, 2, 2]"
176,"[2, 4, 3, 3, 3]","[2, 4, 3, 3, 3]","[2, 3, 4, 3, 3]","[2, 4, 3, 3, 3]","[1, 3, 4, 3, 3]"
177,"[3, 4, 3, 4, 4]","[2, 4, 3, 3, 3]","[2, 4, 3, 3, 3]","[3, 4, 3, 3, 4]","[3, 4, 4, 3, 4]"
178,"[1, 2, 2, 2, 2]","[1, 2, 2, 2, 2]","[1, 2, 1, 1, 2]","[1, 2, 2, 2, 2]","[1, 2, 2, 2, 2]"
179,"[3, 4, 4, 3, 4]","[2, 4, 3, 3, 3]","[3, 4, 4, 4, 4]","[3, 4, 4, 3, 4]","[3, 4, 4, 3, 3]"
180,"[1, 2, 2, 2, 2]","[1, 2, 2, 2, 2]","[1, 2, 1, 1, 2]","[1, 2, 2, 2, 2]","[2, 3, 2, 2, 3]"
181,"[2, 4, 3, 3, 3]","[3, 4, 4, 4, 4]","[2, 4, 3, 4, 4]","[3, 4, 3, 4, 4]","[3, 4, 4, 4, 4]"
182,"[2, 3, 3, 3, 3]","[3, 4, 3, 3, 4]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 4, 3, 3, 3]"
183,"[2, 4, 3, 4, 4]","[2, 4, 4, 4, 4]","[1, 4, 3, 3, 4]","[1, 4, 4, 3, 3]","[2, 4, 3, 3, 3]"
184,"[2, 4, 3, 3, 3]","[3, 4, 4, 3, 4]","[3, 4, 4, 4, 4]","[3, 4, 3, 4, 3]","[3, 4, 4, 3, 4]"
185,"[2, 3, 3, 3, 3]","[2, 3, 3, 2, 3]","[2, 3, 3, 2, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]"
186,"[3, 4, 4, 4, 4]","[3, 4, 4, 4, 4]","[3, 4, 4, 4, 4]","[3, 4, 4, 4, 4]","[3, 4, 3, 4, 4]"
187,"[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]"
188,"[3, 4, 3, 3, 4]","[3, 4, 3, 3, 4]","[3, 4, 4, 3, 4]","[3, 4, 4, 4, 4]","[3, 4, 3, 3, 4]"
189,"[3, 4, 4, 4, 4]","[3, 4, 4, 3, 4]","[2, 4, 4, 3, 4]","[3, 4, 4, 3, 4]","[3, 4, 4, 4, 4]"
190,"[2, 4, 3, 3, 3]","[2, 4, 3, 4, 4]","[2, 4, 3, 3, 3]","[2, 4, 3, 3, 3]","[3, 4, 4, 3, 4]"
191,"[1, 2, 2, 2, 2]","[1, 2, 2, 2, 2]","[1, 2, 2, 1, 2]","[1, 2, 1, 2, 2]","[2, 3, 3, 2, 3]"
192,"[3, 4, 3, 3, 4]","[3, 4, 4, 4, 4]","[3, 4, 3, 3, 3]","[3, 4, 4, 3, 4]","[3, 4, 3, 4, 4]"
193,"[1, 2, 2, 2, 2]","[1, 2, 2, 2, 2]","[1, 2, 2, 2, 2]","[1, 2, 2, 1, 2]","[1, 2, 1, 2, 2]"
194,"[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 4, 3, 3, 3]","[1, 4, 3, 3, 3]","[1, 3, 4, 4, 3]"
195,"[2, 4, 3, 3, 3]","[2, 4, 3, 4, 4]","[2, 4, 4, 4, 4]","[2, 4, 3, 4, 4]","[2, 4, 4, 4, 4]"
196,"[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]"
197,"[3, 4, 4, 4, 4]","[3, 4, 4, 4, 4]","[3, 4, 4, 4, 4]","[3, 4, 4, 3, 4]","[3, 4, 3, 3, 4]"
198,"[2, 4, 3, 3, 3]","[2, 4, 3, 3, 3]","[3, 4, 3, 4, 4]","[2, 4, 3, 3, 4]","[2, 4, 3, 3, 3]"
199,"[1, 2, 2, 2, 2]","[1, 2, 2, 2, 2]","[1, 2, 2, 2, 2]","[1, 2, 2, 1, 2]","[1, 2, 2, 2, 2]"
200,"[3, 4, 4, 4, 4]","[2, 4, 3, 4, 4]","[2, 3, 3, 3, 3]","[3, 4, 4, 4, 4]","[2, 4, 3, 3, 3]"
