topic,score1,score2,score3,score4,score5
151,3,3,3,3,3
152,4,4,4,4,4
153,3,3,3,3,3
154,4,4,4,4,3
155,4,4,4,3,4
156,3,3,3,3,3
157,3,3,2,3,3
158,5,5,5,5,5
159,4,4,4,4,4
160,3,3,3,3,3
161,3,3,3,3,3
162,2,3,2,3,2
163,3,3,3,3,4
164,4,4,4,4,4
165,2,2,2,2,2
166,3,3,3,3,4
167,4,5,4,4,4
168,3,3,3,3,3
169,3,3,3,3,3
170,3,3,3,3,3
171,4,3,4,3,4
172,4,4,4,4,3
173,3,4,3,3,4
174,2,2,2,2,2
175,2,2,2,3,2
176,3,3,3,3,3
177,3,3,4,4,3
178,2,2,2,2,2
179,3,3,3,3,3
180,2,2,1,1,1
181,3,3,3,4,4
182,3,3,3,3,3
183,4,3,4,4,3
184,4,4,4,3,4
185,3,2,3,2,3
186,4,4,4,4,4
187,3,3,3,3,3
188,3,3,3,3,4
189,3,3,3,3,4
190,4,4,3,4,4
191,2,2,2,2,1
192,3,4,4,4,4
193,2,2,2,2,2
194,4,4,4,4,3
195,4,4,4,4,4
196,3,2,2,2,2
197,4,4,3,3,4
198,4,3,4,3,3
199,2,2,2,2,2
200,4,3,4,4,3
