topic,score1,score2,score3,score4,score5
101001,3,3,3,3,3
101002,2,2,2,2,2
101003,2,2,2,2,2
101004,3,2,2,3,3
101005,2,2,2,2,3
101006,3,3,3,3,3
102001,3,3,3,3,3
102002,2,2,2,2,2
102003,3,2,3,3,2
102004,2,2,2,3,2
102005,2,2,2,2,2
102006,2,2,2,2,2
103001,3,3,3,3,4
103002,2,2,2,2,3
103003,2,2,3,2,2
103004,3,3,3,3,3
103005,4,4,4,4,4
103006,4,4,3,3,4
104001,2,2,2,2,2
104002,2,2,2,2,2
104003,3,3,3,3,3
104004,3,2,2,3,2
104005,2,2,2,2,2
104006,2,2,2,2,2
105001,3,3,4,3,3
105002,2,2,2,2,1
105003,2,2,2,2,2
105004,1,1,2,1,1
105005,2,2,2,2,2
105006,2,3,3,3,3
106001,3,3,3,3,3
106002,3,3,4,4,3
106003,3,3,3,3,3
106004,4,4,4,4,4
106005,3,4,3,4,4
106006,4,3,4,4,4
107001,4,4,3,4,4
107002,3,3,4,3,3
107003,3,2,3,3,2
107004,4,4,4,4,4
107005,3,4,3,4,4
107006,4,4,4,4,4
108001,4,3,4,3,3
108002,3,3,3,3,3
108003,3,3,3,4,4
108004,3,3,3,3,3
108005,3,3,3,4,3
108006,3,4,3,3,3
109001,3,3,3,2,3
109002,2,2,2,2,2
109003,2,2,2,3,3
109004,2,2,2,2,2
109005,2,2,2,2,2
109006,2,2,2,2,2
110001,3,3,3,3,3
110002,3,3,3,3,3
110003,2,2,2,2,2
110004,4,4,4,4,4
110005,3,4,3,3,3
110006,4,4,4,4,4
111001,2,2,2,2,1
111002,4,4,4,4,3
111003,2,2,2,2,2
111004,3,3,3,3,3
111005,3,3,3,3,3
111006,3,3,3,3,2
112001,4,4,3,3,4
112002,4,4,4,3,3
112003,3,3,3,3,3
112004,3,3,3,3,3
112005,4,4,4,4,4
112006,4,5,4,4,5
113001,3,3,3,3,4
113002,2,2,2,2,2
113003,2,2,2,2,2
113004,4,4,4,3,4
113005,3,3,3,3,2
113006,3,3,3,3,3
114001,2,1,1,1,1
114002,2,2,2,2,2
114003,1,1,1,1,1
114004,1,1,1,2,1
114005,2,2,2,2,2
114006,1,1,1,2,1
115001,2,2,1,2,1
115002,3,3,2,2,2
115003,3,3,3,2,3
115004,4,4,3,4,3
115005,4,4,4,3,3
115006,3,3,3,4,4
116001,3,3,3,2,2
116002,3,2,3,2,1
116003,3,3,3,3,3
116004,3,3,3,3,3
116005,3,3,3,3,3
116006,3,2,3,2,3
117001,3,3,3,3,3
117002,2,2,2,1,2
117003,1,1,1,1,1
117004,3,3,3,3,4
117005,3,3,2,3,3
117006,3,3,3,3,3
118001,2,2,2,2,2
118002,3,3,3,4,3
118003,2,2,2,2,3
118004,2,2,2,2,2
118005,4,4,4,3,4
118006,4,4,5,4,4
119001,4,4,4,3,3
119002,4,4,4,4,4
119003,3,3,3,3,3
119004,4,4,3,4,4
119005,4,4,3,3,3
119006,3,3,3,3,3
120001,2,2,2,2,1
120002,3,3,3,3,3
120003,3,3,3,3,2
120004,2,2,2,2,1
120005,2,2,2,2,2
120006,4,4,4,4,4
121001,2,2,2,2,2
121002,1,2,1,1,2
121003,1,1,1,1,1
121004,2,2,2,2,2
121005,1,1,1,1,1
121006,2,2,1,1,2
122001,2,1,1,2,1
122002,2,2,2,2,2
122003,2,2,2,2,2
122004,2,2,2,1,2
122005,2,2,2,2,2
122006,2,1,2,2,2
123001,3,3,2,3,3
123002,2,3,3,3,3
123003,3,3,3,2,3
123004,3,2,2,2,3
123005,3,2,2,3,2
123006,2,2,2,2,2
124001,2,2,2,2,1
124002,2,1,2,2,2
124003,2,3,2,2,2
124004,2,2,2,2,2
124005,2,2,2,2,2
124006,2,2,2,2,2
125001,3,3,3,3,4
125002,3,3,3,3,2
125003,3,3,3,4,3
125004,3,3,3,3,3
125005,2,2,2,2,2
125006,3,3,3,3,4
126001,3,3,3,3,3
126002,3,3,4,3,4
126003,2,2,2,2,2
126004,1,1,1,1,1
126005,4,4,4,4,4
126006,4,4,3,4,4
127001,2,2,2,2,2
127002,2,2,2,2,2
127003,1,1,1,1,1
127004,2,2,2,2,3
127005,2,2,2,2,2
127006,3,3,3,3,3
128001,4,4,4,4,4
128002,3,3,3,3,3
128003,3,3,3,3,3
128004,4,4,4,4,4
128005,2,3,3,3,3
128006,4,4,4,3,4
129001,2,2,2,1,2
129002,2,2,3,2,2
129003,2,3,2,3,3
129004,3,3,3,3,3
129005,4,4,3,4,4
129006,3,3,3,3,3
130001,3,3,3,3,4
130002,2,2,2,2,2
130003,2,2,2,2,3
130004,2,1,2,2,2
130005,3,3,3,3,3
130006,3,3,3,3,3
131001,2,2,2,3,2
131002,1,1,1,1,1
131003,1,1,1,1,1
131004,2,2,2,2,2
131005,1,1,1,1,2
131006,2,1,1,2,1
132001,2,2,2,2,2
132002,4,4,3,4,4
132003,4,4,4,3,4
132004,3,3,3,3,3
132005,3,3,3,3,3
132006,4,4,4,4,3
133001,4,4,3,4,4
133002,3,3,3,3,3
133003,1,1,1,1,1
133004,2,2,2,2,2
133005,4,4,4,4,4
133006,3,3,3,3,3
134001,3,3,3,3,4
134002,3,3,3,3,3
134003,2,2,2,2,2
134004,2,2,2,2,2
134005,2,2,2,2,2
134006,2,2,2,2,2
135001,2,3,3,3,3
135002,3,3,3,3,3
135003,2,2,2,2,1
135004,1,1,1,1,1
135005,1,1,1,1,1
135006,4,4,4,3,4
136001,3,2,3,3,2
136002,4,4,3,3,3
136003,3,3,3,3,2
136004,3,2,3,2,3
136005,3,3,3,3,3
136006,4,4,4,4,4
137001,3,3,3,3,3
137002,3,3,3,3,3
137003,2,2,2,2,2
137004,2,2,2,2,2
137005,3,3,3,3,3
137006,4,4,4,4,4
138001,3,3,3,3,3
138002,3,3,3,3,3
138003,2,3,2,3,3
138004,2,2,2,2,2
138005,3,3,2,2,3
138006,3,3,3,3,4
139001,2,2,1,1,2
139002,2,2,2,2,2
139003,3,3,3,3,4
139004,3,3,3,3,3
139005,3,3,3,2,4
139006,3,3,3,3,3
140001,3,2,3,3,3
140002,2,3,3,2,2
140003,2,2,3,3,2
140004,2,2,2,2,2
140005,2,2,2,2,2
140006,2,2,2,1,2
141001,2,2,1,2,2
141002,2,2,2,2,2
141003,1,1,1,1,1
141004,2,2,2,2,2
141005,2,2,2,2,2
141006,2,2,2,2,2
142001,2,3,2,2,3
142002,3,1,3,2,2
142003,3,3,3,3,3
142004,3,3,3,4,3
142005,3,3,3,3,3
142006,3,3,3,3,3
143001,4,4,4,4,4
143002,3,3,3,3,3
143003,3,3,3,3,3
143004,4,4,4,4,4
143005,3,3,4,3,3
143006,3,3,3,3,3
144001,2,2,2,2,2
144002,3,3,3,3,3
144003,2,2,2,2,2
144004,2,2,2,2,1
144005,3,3,3,3,3
144006,2,2,2,2,2
145001,2,2,2,2,2
145002,2,2,2,2,2
145003,2,2,2,2,2
145004,1,1,1,1,2
145005,2,2,2,2,1
145006,1,1,1,1,1
146001,2,2,2,2,3
146002,2,2,3,2,2
146003,3,3,2,2,3
146004,1,1,1,1,1
146005,2,2,2,2,2
146006,3,3,3,3,3
147001,2,2,2,2,3
147002,2,2,2,2,2
147003,2,2,2,2,3
147004,1,1,1,1,1
147005,2,2,2,2,2
147006,3,3,3,3,3
148001,4,4,4,4,4
148002,3,3,4,4,4
148003,4,4,4,4,4
148004,4,4,4,4,4
148005,4,4,4,4,4
148006,4,4,4,4,4
149001,2,2,2,3,2
149002,3,3,2,3,2
149003,2,3,3,2,3
149004,1,1,2,1,1
149005,2,2,2,2,2
149006,3,3,3,3,3
150001,2,2,3,2,2
150002,2,2,2,1,2
150003,2,2,2,2,2
150004,4,3,4,4,4
150005,2,3,2,2,3
150006,2,2,2,2,2
