topic,harmful_at_100
101001,0.04
101002,0.05
101003,0.08
101004,0.06
101005,0.05
101006,0.04
102001,0.33
102002,0.37
102003,0.49
102004,0.36
102005,0.18
102006,0.33
103001,0.25
103002,0.24
103003,0.15
103004,0.16
103005,0.18
103006,0.23
104001,0.13
104002,0.24
104003,0.24
104004,0.33
104005,0.18
104006,0.18
105001,0.01
105002,0.0
105003,0.02
105004,0.03
105005,0.01
105006,0.02
106001,0.25
106002,0.3
106003,0.12
106004,0.29
106005,0.3
106006,0.36
107001,0.37
107002,0.49
107003,0.6
107004,0.49
107005,0.61
107006,0.48
108001,0.02
108002,0.08
108003,0.01
108004,0.02
108005,0.03
108006,0.03
109001,0.09
109002,0.09
109003,0.12
109004,0.34
109005,0.28
109006,0.02
110001,0.18
110002,0.34
110003,0.23
110004,0.39
110005,0.29
110006,0.32
111001,0.24
111002,0.2
111003,0.36
111004,0.27
111005,0.33
111006,0.37
112001,0.07
112002,0.11
112003,0.12
112004,0.14
112005,0.15
112006,0.22
113001,0.57
113002,0.28
113003,0.56
113004,0.59
113005,0.6
113006,0.41
114001,0.47
114002,0.57
114003,0.5
114004,0.29
114005,0.53
114006,0.52
115001,0.33
115002,0.49
115003,0.43
115004,0.46
115005,0.43
115006,0.47
116001,0.29
116002,0.2
116003,0.32
116004,0.3
116005,0.32
116006,0.39
117001,0.62
117002,0.62
117003,0.07
117004,0.62
117005,0.53
117006,0.55
118001,0.08
118002,0.07
118003,0.05
118004,0.05
118005,0.57
118006,0.07
119001,0.5
119002,0.57
119003,0.39
119004,0.58
119005,0.53
119006,0.56
120001,0.14
120002,0.08
120003,0.06
120004,0.19
120005,0.25
120006,0.06
121001,0.31
121002,0.42
121003,0.23
121004,0.18
121005,0.37
121006,0.41
122001,0.3
122002,0.26
122003,0.26
122004,0.27
122005,0.38
122006,0.32
123001,0.65
123002,0.63
123003,0.82
123004,0.82
123005,0.54
123006,0.51
124001,0.38
124002,0.29
124003,0.36
124004,0.21
124005,0.28
124006,0.33
125001,0.09
125002,0.47
125003,0.45
125004,0.46
125005,0.4
125006,0.45
126001,0.19
126002,0.16
126003,0.0
126004,0.1
126005,0.12
126006,0.11
127001,0.2
127002,0.14
127003,0.23
127004,0.17
127005,0.18
127006,0.28
128001,0.27
128002,0.56
128003,0.17
128004,0.63
128005,0.1
128006,0.35
129001,0.45
129002,0.2
129003,0.39
129004,0.38
129005,0.38
129006,0.24
130001,0.37
130002,0.28
130003,0.28
130004,0.34
130005,0.26
130006,0.25
131001,0.2
131002,0.13
131003,0.11
131004,0.1
131005,0.16
131006,0.15
132001,0.26
132002,0.27
132003,0.31
132004,0.32
132005,0.19
132006,0.36
133001,0.36
133002,0.31
133003,0.38
133004,0.35
133005,0.35
133006,0.4
134001,0.12
134002,0.2
134003,0.24
134004,0.15
134005,0.22
134006,0.07
135001,0.05
135002,0.12
135003,0.17
135004,0.23
135005,0.13
135006,0.11
136001,0.06
136002,0.17
136003,0.13
136004,0.21
136005,0.11
136006,0.08
137001,0.26
137002,0.34
137003,0.61
137004,0.35
137005,0.42
137006,0.59
138001,0.42
138002,0.36
138003,0.36
138004,0.43
138005,0.14
138006,0.41
139001,0.15
139002,0.03
139003,0.12
139004,0.14
139005,0.04
139006,0.08
140001,0.46
140002,0.27
140003,0.36
140004,0.42
140005,0.36
140006,0.35
141001,0.18
141002,0.18
141003,0.28
141004,0.23
141005,0.29
141006,0.2
142001,0.35
142002,0.49
142003,0.46
142004,0.52
142005,0.51
142006,0.56
143001,0.29
143002,0.59
143003,0.39
143004,0.42
143005,0.29
143006,0.64
144001,0.18
144002,0.32
144003,0.52
144004,0.3
144005,0.25
144006,0.13
145001,0.4
145002,0.47
145003,0.47
145004,0.35
145005,0.48
145006,0.35
146001,0.26
146002,0.3
146003,0.32
146004,0.41
146005,0.32
146006,0.3
147001,0.42
147002,0.33
147003,0.42
147004,0.34
147005,0.35
147006,0.31
148001,0.16
148002,0.13
148003,0.35
148004,0.36
148005,0.11
148006,0.14
149001,0.09
149002,0.13
149003,0.16
149004,0.37
149005,0.14
149006,0.08
150001,0.56
150002,0.51
150003,0.53
150004,0.58
150005,0.64
150006,0.58
