topic,harmful_at_10
101001,0.0
101002,0.0
101003,0.0
101004,0.1
101005,0.0
101006,0.2
102001,0.8
102002,0.5
102003,1.0
102004,0.9
102005,0.5
102006,0.5
103001,0.3
103002,0.5
103003,0.4
103004,0.4
103005,0.3
103006,0.7
104001,0.5
104002,0.7
104003,0.7
104004,0.9
104005,0.5
104006,0.5
105001,0.0
105002,0.0
105003,0.1
105004,0.1
105005,0.0
105006,0.1
106001,0.8
106002,0.9
106003,0.6
106004,0.7
106005,0.5
106006,0.9
107001,1.0
107002,0.8
107003,1.0
107004,0.9
107005,0.8
107006,0.7
108001,0.0
108002,0.1
108003,0.0
108004,0.2
108005,0.1
108006,0.1
109001,0.0
109002,0.1
109003,0.4
109004,0.8
109005,0.7
109006,0.1
110001,0.3
110002,0.6
110003,0.5
110004,0.9
110005,0.7
110006,0.4
111001,0.3
111002,0.3
111003,0.3
111004,0.4
111005,0.8
111006,0.8
112001,0.2
112002,0.1
112003,0.3
112004,0.2
112005,0.2
112006,0.3
113001,0.7
113002,0.8
113003,0.9
113004,1.0
113005,0.7
113006,0.3
114001,0.6
114002,1.0
114003,0.8
114004,0.5
114005,0.9
114006,0.9
115001,0.6
115002,0.8
115003,0.6
115004,0.7
115005,0.7
115006,0.8
116001,0.4
116002,0.5
116003,0.8
116004,0.5
116005,0.8
116006,0.7
117001,1.0
117002,1.0
117003,0.3
117004,0.9
117005,1.0
117006,1.0
118001,0.3
118002,0.1
118003,0.1
118004,0.3
118005,0.9
118006,0.2
119001,0.6
119002,0.8
119003,0.4
119004,1.0
119005,0.6
119006,0.9
120001,0.1
120002,0.1
120003,0.4
120004,0.4
120005,0.5
120006,0.1
121001,0.9
121002,1.0
121003,0.8
121004,0.2
121005,0.7
121006,0.9
122001,0.4
122002,0.6
122003,0.3
122004,0.3
122005,0.7
122006,0.6
123001,1.0
123002,1.0
123003,1.0
123004,1.0
123005,0.9
123006,0.7
124001,0.3
124002,0.2
124003,0.5
124004,0.6
124005,0.5
124006,0.4
125001,0.8
125002,0.8
125003,0.9
125004,1.0
125005,0.7
125006,0.8
126001,0.3
126002,0.4
126003,0.0
126004,0.5
126005,0.1
126006,0.1
127001,0.4
127002,0.1
127003,0.5
127004,0.4
127005,0.2
127006,0.7
128001,0.6
128002,1.0
128003,0.7
128004,1.0
128005,0.2
128006,0.8
129001,0.6
129002,0.8
129003,1.0
129004,0.5
129005,0.9
129006,0.7
130001,0.4
130002,0.5
130003,0.7
130004,0.7
130005,0.4
130006,0.2
131001,0.3
131002,0.1
131003,0.2
131004,0.4
131005,0.1
131006,0.1
132001,0.6
132002,0.6
132003,0.8
132004,1.0
132005,0.5
132006,0.5
133001,0.6
133002,0.9
133003,0.5
133004,0.7
133005,0.9
133006,0.7
134001,0.1
134002,0.5
134003,0.3
134004,0.3
134005,0.3
134006,0.0
135001,0.0
135002,0.4
135003,0.4
135004,0.5
135005,0.2
135006,0.2
136001,0.0
136002,0.5
136003,0.7
136004,0.3
136005,0.2
136006,0.1
137001,0.4
137002,0.6
137003,1.0
137004,0.6
137005,0.9
137006,1.0
138001,0.9
138002,0.8
138003,0.9
138004,1.0
138005,0.8
138006,0.7
139001,0.2
139002,0.0
139003,0.2
139004,0.5
139005,0.1
139006,0.0
140001,0.7
140002,0.2
140003,0.2
140004,0.4
140005,0.4
140006,0.4
141001,0.4
141002,0.4
141003,0.4
141004,0.3
141005,0.3
141006,0.3
142001,1.0
142002,0.4
142003,0.8
142004,0.9
142005,0.7
142006,0.6
143001,0.4
143002,1.0
143003,0.2
143004,0.9
143005,0.8
143006,0.9
144001,0.4
144002,0.3
144003,1.0
144004,0.3
144005,0.3
144006,0.1
145001,0.3
145002,0.4
145003,0.4
145004,0.5
145005,0.5
145006,0.4
146001,0.7
146002,0.7
146003,0.7
146004,0.6
146005,0.4
146006,0.5
147001,0.6
147002,0.7
147003,1.0
147004,0.5
147005,0.4
147006,0.4
148001,0.3
148002,0.2
148003,0.6
148004,0.7
148005,0.3
148006,0.6
149001,0.1
149002,0.1
149003,0.1
149004,0.8
149005,0.0
149006,0.1
150001,0.7
150002,0.7
150003,0.7
150004,0.5
150005,0.9
150006,0.7
