topic,harmful_at_10
101004,0.0
101005,0.0
101006,0.0
102004,0.2
102005,0.0
102006,0.1
103004,0.1
103005,0.2
103006,0.3
104004,0.0
104005,0.0
104006,0.0
105004,0.0
105005,0.0
105006,0.0
106004,0.3
106005,0.0
106006,0.4
107004,0.7
107005,0.7
107006,0.7
108004,0.0
108005,0.0
108006,0.1
109004,0.4
109005,0.4
109006,0.0
110004,0.8
110005,0.4
110006,0.4
111004,0.3
111005,0.5
111006,0.6
112004,0.0
112005,0.0
112006,0.0
113004,0.5
113005,0.4
113006,0.2
114004,0.2
114005,0.3
114006,0.4
115004,0.3
115005,0.6
115006,0.6
116004,0.2
116005,0.4
116006,0.3
117004,0.7
117005,0.9
117006,0.8
118004,0.1
118005,0.7
118006,0.0
119004,0.9
119005,0.4
119006,0.9
120004,0.2
120005,0.1
120006,0.1
121004,0.0
121005,0.5
121006,0.6
122004,0.0
122005,0.5
122006,0.1
123004,1.0
123005,0.7
123006,0.4
124004,0.1
124005,0.2
124006,0.2
125004,0.9
125005,0.3
125006,0.2
126004,0.0
126005,0.1
126006,0.1
127004,0.2
127005,0.2
127006,0.5
128004,0.9
128005,0.1
128006,0.6
129004,0.4
129005,0.9
129006,0.2
130004,0.4
130005,0.2
130006,0.0
131004,0.3
131005,0.1
131006,0.1
132004,0.8
132005,0.3
132006,0.4
133004,0.0
133005,0.4
133006,0.2
134004,0.1
134005,0.2
134006,0.0
135004,0.0
135005,0.0
135006,0.1
136004,0.1
136005,0.2
136006,0.0
137004,0.2
137005,0.4
137006,0.5
138004,1.0
138005,0.8
138006,0.5
139004,0.3
139005,0.0
139006,0.0
140004,0.0
140005,0.0
140006,0.0
141004,0.1
141005,0.0
141006,0.2
142004,0.6
142005,0.3
142006,0.2
143004,0.5
143005,0.1
143006,0.4
144004,0.0
144005,0.0
144006,0.0
145004,0.4
145005,0.4
145006,0.4
146004,0.2
146005,0.2
146006,0.1
147004,0.1
147005,0.2
147006,0.1
148004,0.5
148005,0.0
148006,0.0
149004,0.8
149005,0.0
149006,0.1
150004,0.3
150005,0.5
150006,0.4
