topic,harmful_at_10
101004,0.0
101005,0.0
101006,0.0
102004,0.3
102005,0.2
102006,0.3
103004,0.0
103005,0.3
103006,0.4
104004,0.0
104005,0.0
104006,0.0
105004,0.0
105005,0.0
105006,0.0
106004,0.4
106005,0.1
106006,0.2
107004,0.2
107005,0.7
107006,0.6
108004,0.0
108005,0.0
108006,0.0
109004,0.2
109005,0.5
109006,0.0
110004,0.6
110005,0.3
110006,0.7
111004,0.0
111005,0.1
111006,0.2
112004,0.0
112005,0.0
112006,0.0
113004,0.3
113005,0.5
113006,0.4
114004,0.2
114005,0.2
114006,0.2
115004,0.1
115005,0.2
115006,0.3
116004,0.1
116005,0.1
116006,0.2
117004,0.5
117005,0.4
117006,0.5
118004,0.1
118005,0.4
118006,0.0
119004,0.6
119005,0.2
119006,0.4
120004,0.3
120005,0.1
120006,0.1
121004,0.1
121005,0.3
121006,0.2
122004,0.1
122005,0.1
122006,0.2
123004,0.6
123005,0.6
123006,0.6
124004,0.1
124005,0.2
124006,0.1
125004,0.3
125005,0.5
125006,0.4
126004,0.0
126005,0.0
126006,0.0
127004,0.3
127005,0.2
127006,0.3
128004,1.0
128005,0.2
128006,0.2
129004,0.4
129005,0.7
129006,0.1
130004,0.4
130005,0.4
130006,0.1
131004,0.0
131005,0.0
131006,0.0
132004,0.4
132005,0.2
132006,0.1
133004,0.1
133005,0.1
133006,0.0
134004,0.0
134005,0.2
134006,0.0
135004,0.0
135005,0.3
135006,0.0
136004,0.4
136005,0.6
136006,0.1
137004,0.3
137005,0.2
137006,0.5
138004,0.7
138005,0.4
138006,0.5
139004,0.0
139005,0.1
139006,0.0
140004,0.2
140005,0.0
140006,0.1
141004,0.2
141005,0.0
141006,0.0
142004,0.4
142005,0.1
142006,0.1
143004,0.1
143005,0.0
143006,0.2
144004,0.0
144005,0.1
144006,0.0
145004,0.4
145005,0.5
145006,0.4
146004,0.2
146005,0.2
146006,0.1
147004,0.1
147005,0.2
147006,0.1
148004,0.0
148005,0.2
148006,0.0
149004,0.2
149005,0.0
149006,0.1
150004,0.2
150005,0.1
150006,0.1
