run,topic,ndcg_cut_5,ndcg_cut_10,ndcg_cut_15,ndcg_cut_20,ndcg_cut_30,ndcg_cut_100,ndcg_cut_200,ndcg_cut_500,ndcg_cut_1000
bm25_2020,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0173,0.0458,0.0724
bm25_2020,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
bm25_2020,13,0.7860,0.5101,0.3954,0.3292,0.2530,0.2074,0.2130,0.3151,0.4083
bm25_2020,14,0.0000,0.0000,0.0000,0.0252,0.0568,0.2152,0.2630,0.3256,0.3708
bm25_2020,15,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0460,0.0460
bm25_2020,16,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
bm25_2020,17,0.1461,0.0948,0.1161,0.1649,0.1735,0.1613,0.2180,0.3154,0.3584
bm25_2020,18,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
bm25_2020,19,0.1461,0.1732,0.2279,0.2221,0.2626,0.2855,0.3691,0.3977,0.4039
bm25_2020,2,0.0000,0.0000,0.0000,0.0000,0.0000,0.1968,0.2621,0.3072,0.3393
bm25_2020,20,0.0000,0.0000,0.0000,0.0000,0.0000,0.0329,0.1303,0.2290,0.2952
bm25_2020,22,0.0000,0.0875,0.0875,0.0875,0.0875,0.0875,0.1273,0.1273,0.1273
bm25_2020,25,0.2766,0.3152,0.3345,0.3635,0.3391,0.3337,0.3464,0.4117,0.4604
bm25_2020,27,0.0000,0.0000,0.0000,0.0000,0.0427,0.1771,0.2666,0.2666,0.2666
bm25_2020,28,0.0000,0.0000,0.0000,0.0000,0.0348,0.0992,0.0992,0.1383,0.1562
bm25_2020,30,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0437,0.1523,0.1523
bm25_2020,31,0.0000,0.0000,0.0000,0.0000,0.0000,0.0183,0.0853,0.1146,0.1928
bm25_2020,38,0.0000,0.0000,0.0000,0.0000,0.0000,0.0539,0.0539,0.1187,0.1362
bm25_2020,39,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0475,0.2041,0.3325
bm25_2020,4,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1132,0.1132
bm25_2020,40,0.0000,0.0717,0.0695,0.0695,0.1182,0.1182,0.1821,0.2084,0.2312
bm25_2020,41,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0573
bm25_2020,43,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
bm25_2020,44,0.0000,0.0000,0.0000,0.0000,0.0600,0.1061,0.1422,0.2689,0.2689
bm25_2020,45,0.0000,0.0663,0.1426,0.1511,0.2701,0.3065,0.5465,0.5614,0.5614
bm25_2020,47,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1128,0.1851,0.2679
bm25_2020,49,0.0000,0.0636,0.1436,0.1852,0.1881,0.3020,0.3813,0.5199,0.5479
bm25_2020,50,0.0000,0.0000,0.0461,0.0863,0.0863,0.1177,0.1430,0.1818,0.2006
bm25_2020,6,0.0000,0.0354,0.0307,0.0274,0.0230,0.0230,0.0659,0.0923,0.1168
bm25_2020,7,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0116,0.0786,0.1028
bm25_2020,8,0.0000,0.0000,0.0000,0.0000,0.0000,0.1062,0.1685,0.1685,0.1685
bm25_2020,9,0.0000,0.0000,0.0000,0.0000,0.0000,0.0132,0.0346,0.1195,0.1423
bm25_2020,all,0.0423,0.0443,0.0498,0.0535,0.0624,0.0925,0.1354,0.1879,0.2156
