run,topic,ndcg_cut_5,ndcg_cut_10,ndcg_cut_15,ndcg_cut_20,ndcg_cut_30,ndcg_cut_100,ndcg_cut_200,ndcg_cut_500,ndcg_cut_1000
bm25_layman_CLEF,101004,0.0000,0.0367,0.0515,0.0599,0.0583,0.0587,0.1004,0.1697,0.2047
bm25_layman_CLEF,101005,0.0000,0.0000,0.0000,0.0000,0.0110,0.0385,0.0434,0.1050,0.1880
bm25_layman_CLEF,101006,0.1726,0.1120,0.0868,0.0723,0.0791,0.0604,0.0823,0.2044,0.2469
bm25_layman_CLEF,102004,0.4152,0.4842,0.4423,0.4014,0.3549,0.2978,0.2868,0.2573,0.2856
bm25_layman_CLEF,102005,0.0730,0.1837,0.1879,0.1905,0.1809,0.1446,0.1100,0.1426,0.1910
bm25_layman_CLEF,102006,0.3112,0.2669,0.2992,0.2491,0.2939,0.2664,0.2289,0.2185,0.2813
bm25_layman_CLEF,103004,0.1696,0.2499,0.1937,0.1948,0.1948,0.1197,0.1527,0.2034,0.2305
bm25_layman_CLEF,103005,0.4704,0.3370,0.2613,0.2504,0.2855,0.1688,0.1571,0.1631,0.1823
bm25_layman_CLEF,103006,0.6992,0.5608,0.5709,0.4927,0.4020,0.2238,0.1902,0.1885,0.2232
bm25_layman_CLEF,104004,0.5000,0.4669,0.4233,0.4595,0.4796,0.3432,0.2454,0.2691,0.3010
bm25_layman_CLEF,104005,0.3200,0.2786,0.2747,0.2486,0.2706,0.1951,0.1728,0.2182,0.2549
bm25_layman_CLEF,104006,0.2574,0.2336,0.2616,0.2367,0.2315,0.1784,0.1480,0.1567,0.1719
bm25_layman_CLEF,105004,0.0000,0.0392,0.0304,0.0253,0.0194,0.0244,0.0540,0.0540,0.0540
bm25_layman_CLEF,105005,0.0000,0.0000,0.0000,0.0000,0.0000,0.0072,0.0121,0.0121,0.0121
bm25_layman_CLEF,105006,0.0656,0.0426,0.0330,0.0275,0.0211,0.0264,0.0314,0.0359,0.0398
bm25_layman_CLEF,106004,0.6070,0.5238,0.5405,0.5666,0.5280,0.2985,0.2488,0.2044,0.2249
bm25_layman_CLEF,106005,0.3614,0.3104,0.2868,0.2878,0.2331,0.2362,0.1816,0.1634,0.1835
bm25_layman_CLEF,106006,0.8422,0.7256,0.6517,0.6595,0.5537,0.3310,0.2678,0.2113,0.2384
bm25_layman_CLEF,107004,0.7618,0.8087,0.7132,0.7265,0.7211,0.5185,0.4638,0.3877,0.4445
bm25_layman_CLEF,107005,0.4469,0.6018,0.6914,0.6444,0.6572,0.6118,0.4314,0.3816,0.4302
bm25_layman_CLEF,107006,1.0000,0.7846,0.7210,0.7004,0.6908,0.5042,0.4223,0.3595,0.4055
bm25_layman_CLEF,108004,0.2352,0.1526,0.1183,0.1055,0.0908,0.0698,0.0771,0.0940,0.0940
bm25_layman_CLEF,108005,0.0000,0.0392,0.0304,0.0271,0.0233,0.0358,0.0490,0.1044,0.1469
bm25_layman_CLEF,108006,0.3392,0.2201,0.1706,0.1521,0.1310,0.1279,0.1348,0.1348,0.1669
bm25_layman_CLEF,109004,0.8614,0.6994,0.6319,0.5422,0.4526,0.3137,0.2433,0.2575,0.2945
bm25_layman_CLEF,109005,0.4048,0.5459,0.4462,0.4541,0.3845,0.2544,0.2221,0.2409,0.2816
bm25_layman_CLEF,109006,0.0848,0.0550,0.0427,0.0355,0.0273,0.0163,0.0164,0.0191,0.0243
bm25_layman_CLEF,110004,1.0000,0.8898,0.8243,0.7688,0.6836,0.4257,0.3554,0.3410,0.3868
bm25_layman_CLEF,110005,0.5148,0.5394,0.5532,0.5110,0.4157,0.2847,0.1915,0.1607,0.1723
bm25_layman_CLEF,110006,0.8688,0.5638,0.4797,0.4658,0.4500,0.3444,0.3223,0.2930,0.3419
bm25_layman_CLEF,111004,0.2117,0.2820,0.3060,0.3223,0.3304,0.2183,0.1678,0.1969,0.2670
bm25_layman_CLEF,111005,0.5104,0.5795,0.5367,0.5299,0.4187,0.3001,0.2166,0.1936,0.2535
bm25_layman_CLEF,111006,0.9344,0.7810,0.7617,0.7522,0.6840,0.4217,0.2978,0.2732,0.2996
bm25_layman_CLEF,112004,0.0000,0.0759,0.1036,0.0863,0.0897,0.0906,0.0877,0.0945,0.1130
bm25_layman_CLEF,112005,0.2426,0.1574,0.1439,0.1360,0.1276,0.1105,0.1078,0.1453,0.1769
bm25_layman_CLEF,112006,0.0848,0.1273,0.1438,0.1697,0.1541,0.1348,0.1149,0.1620,0.1806
bm25_layman_CLEF,113004,0.7352,0.7597,0.7688,0.7588,0.6863,0.5217,0.4035,0.3470,0.4176
