run,topic,ndcg_cut_5,ndcg_cut_10,ndcg_cut_15,ndcg_cut_20,ndcg_cut_30,ndcg_cut_100,ndcg_cut_200,ndcg_cut_500,ndcg_cut_1000
minilm_2021,101,0.3820,0.3649,0.3720,0.3434,0.3103,0.2127,0.1860,0.1879,0.2281
minilm_2021,102,0.1696,0.1818,0.1990,0.1770,0.2043,0.3163,0.3622,0.4746,0.4928
minilm_2021,103,0.3325,0.4011,0.4137,0.4453,0.4312,0.3768,0.3612,0.5055,0.5776
minilm_2021,104,0.0487,0.2918,0.3170,0.3306,0.3789,0.3995,0.4193,0.5602,0.6553
minilm_2021,105,0.1476,0.1582,0.1647,0.1861,0.1772,0.1620,0.1786,0.2039,0.2083
minilm_2021,106,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
minilm_2021,107,0.0000,0.0000,0.0000,0.0000,0.0000,0.0356,0.1736,0.1980,0.2311
minilm_2021,108,0.0000,0.0401,0.0606,0.0577,0.0781,0.2146,0.2576,0.2943,0.2943
minilm_2021,109,0.1502,0.2917,0.3311,0.3276,0.2768,0.3724,0.4546,0.5622,0.5926
minilm_2021,110,0.4096,0.3082,0.3130,0.3391,0.3531,0.4210,0.4904,0.5657,0.6034
minilm_2021,111,0.5789,0.5217,0.5566,0.5063,0.4035,0.4087,0.4678,0.5107,0.5262
minilm_2021,112,0.1691,0.1805,0.2615,0.2567,0.3266,0.4140,0.4921,0.5756,0.6318
minilm_2021,114,0.0000,0.0000,0.0244,0.0630,0.0567,0.0825,0.0932,0.0932,0.1096
minilm_2021,115,0.0000,0.0000,0.0000,0.0000,0.0000,0.1519,0.1519,0.1519,0.1519
minilm_2021,117,0.1153,0.1003,0.2087,0.2087,0.2087,0.2087,0.2447,0.2592,0.2592
minilm_2021,118,0.0000,0.0000,0.0000,0.0000,0.0000,0.0584,0.1050,0.2080,0.2080
minilm_2021,120,0.0000,0.0000,0.0000,0.0000,0.0000,0.0558,0.1919,0.1919,0.1919
minilm_2021,121,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1148,0.1630
minilm_2021,122,0.2657,0.2488,0.1997,0.1697,0.1927,0.2301,0.2533,0.2936,0.3225
minilm_2021,128,0.8539,0.7534,0.7628,0.7337,0.7504,0.7052,0.6990,0.8340,0.8674
minilm_2021,129,0.0000,0.0694,0.0538,0.0448,0.0448,0.0448,0.1037,0.1713,0.2021
minilm_2021,131,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0545,0.0766
minilm_2021,132,0.3082,0.3370,0.3307,0.3265,0.3089,0.2626,0.3260,0.4028,0.4766
minilm_2021,134,0.2722,0.3056,0.2578,0.2507,0.2450,0.2786,0.3061,0.3916,0.4353
minilm_2021,136,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
minilm_2021,137,0.6356,0.5230,0.5767,0.5767,0.6238,0.6634,0.6634,0.6907,0.6907
minilm_2021,139,0.2725,0.2546,0.3189,0.3640,0.3993,0.4541,0.5168,0.5748,0.6214
minilm_2021,140,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
minilm_2021,143,0.5531,0.3937,0.3949,0.4110,0.3992,0.5518,0.6064,0.6827,0.6956
minilm_2021,144,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
minilm_2021,146,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1247,0.1247
minilm_2021,149,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0915,0.0915,0.0915
minilm_2021,all,0.1770,0.1789,0.1912,0.1912,0.1928,0.2213,0.2561,0.3116,0.3353
