run,topic,ndcg_cut_5,ndcg_cut_10,ndcg_cut_15,ndcg_cut_20,ndcg_cut_30,ndcg_cut_100,ndcg_cut_200,ndcg_cut_500,ndcg_cut_1000
minilm_layman_CLEF,101004,0.0656,0.0426,0.0543,0.0623,0.0478,0.0572,0.0989,0.1681,0.2032
minilm_layman_CLEF,101005,0.0000,0.0000,0.0000,0.0000,0.0116,0.0398,0.0447,0.1063,0.1893
minilm_layman_CLEF,101006,0.0730,0.0474,0.0367,0.0306,0.0357,0.0432,0.0651,0.1873,0.2297
minilm_layman_CLEF,102004,0.8614,0.7345,0.6162,0.5297,0.4535,0.3535,0.3258,0.2859,0.3142
minilm_layman_CLEF,102005,0.5104,0.3312,0.3036,0.2702,0.2554,0.1768,0.1326,0.1592,0.2076
minilm_layman_CLEF,102006,0.6504,0.5992,0.5524,0.5107,0.4154,0.3288,0.2728,0.2505,0.3134
minilm_layman_CLEF,103004,0.1696,0.1432,0.1348,0.1470,0.1465,0.1107,0.1462,0.1981,0.2251
minilm_layman_CLEF,103005,0.4257,0.4110,0.3416,0.2844,0.2415,0.1683,0.1567,0.1628,0.1820
minilm_layman_CLEF,103006,0.4462,0.5107,0.4884,0.4401,0.3727,0.2147,0.1836,0.1831,0.2178
minilm_layman_CLEF,104004,0.1386,0.1247,0.1936,0.2136,0.2713,0.2682,0.1963,0.2229,0.2548
minilm_layman_CLEF,104005,0.2648,0.2403,0.1947,0.1955,0.1810,0.1696,0.1561,0.2025,0.2391
minilm_layman_CLEF,104006,0.1918,0.1245,0.1249,0.1324,0.1274,0.1548,0.1325,0.1421,0.1572
minilm_layman_CLEF,105004,0.0000,0.0367,0.0284,0.0237,0.0182,0.0246,0.0543,0.0543,0.0543
minilm_layman_CLEF,105005,0.0000,0.0000,0.0000,0.0000,0.0000,0.0071,0.0119,0.0119,0.0119
minilm_layman_CLEF,105006,0.0848,0.0550,0.0427,0.0355,0.0273,0.0293,0.0342,0.0387,0.0427
minilm_layman_CLEF,106004,0.4226,0.4444,0.4325,0.4621,0.4254,0.2701,0.2275,0.1896,0.2101
minilm_layman_CLEF,106005,0.2648,0.3191,0.3148,0.2955,0.2848,0.2340,0.1799,0.1623,0.1824
minilm_layman_CLEF,106006,0.3496,0.4445,0.4593,0.4658,0.4733,0.2908,0.2377,0.1904,0.2174
minilm_layman_CLEF,107004,0.0656,0.1846,0.2334,0.2267,0.3016,0.4172,0.4029,0.3487,0.4055
