,avg_idf
1,3.079865821983369
2,2.960717880908685
3,4.167283873879812
4,4.425148127588333
5,3.1164902575959323
6,4.0849692742626065
7,2.769193757023654
8,4.426810763768446
9,4.9931807727521
10,4.92862824450822
11,3.7943445732947847
12,6.732031241317277
13,2.3002418481321847
14,4.1250880117148885
15,2.0813181895331163
16,4.335207333728534
17,4.9931807727521
18,5.0878571424757935
19,4.6464450574518645
20,3.2568298651854124
21,3.022338705383996
22,5.214070754286909
23,3.4153051899587274
24,2.8550167528864554
25,2.4683969218089774
26,3.9028586430839542
27,4.702244060077086
28,4.302292941715612
29,2.9598665620674267
30,3.343481732615824
31,3.008440769214631
32,2.3851864046902054
33,4.832632285378461
34,4.269082577151373
35,4.627523754129178
36,2.6169819232220135
37,3.8414485855480542
38,5.026709876201169
39,3.955941986702702
40,3.724946495113336
41,4.409124199130138
42,4.036172161429154
43,3.873809347602206
44,5.916635722864943
45,7.087069362647474
46,3.9982035814640513
47,4.599792731162207
48,6.297705748888392
49,5.945132086606863
50,3.4940866631203202
