,avg_scq
1,49.41340530130024
2,47.30209769755032
3,59.84782636549937
4,59.81898916695128
5,50.29148870532487
6,57.10332262275799
7,46.22936477425663
8,63.29522986836459
9,66.77991507776781
10,64.24755764421185
11,57.23311527617066
12,61.957421423752415
13,40.61083469778423
14,60.00491561128007
15,36.46469441064644
16,59.353117865808976
17,66.77991507776781
18,60.77923081827806
19,60.905727665234224
20,51.74497739993179
21,50.19552266231086
22,61.71723502159107
23,51.95991158673171
24,46.85314292680868
25,39.37485878956364
26,56.45789047955967
27,61.1708740771684
28,61.36351235066366
29,48.45495247007039
30,44.570257591051686
31,48.436023106213256
32,41.453265311417674
33,62.59382600396618
34,57.33149624155874
35,64.36332665272509
36,44.43016868233425
37,56.399029083160826
38,67.45642495091461
39,56.626685431493975
40,57.291836717751146
41,62.40026965044487
42,57.261251824593664
43,56.3578721498091
44,65.31891913198854
45,61.566814142368514
46,57.23444651696667
47,64.8768474861381
48,62.064834811830565
49,63.14051898993993
50,53.613040732624704
