,max_scq
1,78.08392064386929
2,78.08392064386929
3,86.86902150926053
4,90.82685096508239
5,72.27289098892737
6,85.3955178766958
7,63.64760217969308
8,88.19788357777516
9,91.03036981929077
10,100.06821534539797
11,84.85854018235547
12,95.10371547868465
13,52.41054202674827
14,84.41605736544005
15,52.22149837362025
16,89.89510836279777
17,91.03036981929077
18,92.74733426773594
19,93.00032796164827
20,79.36118830530934
21,70.6268455234723
22,94.62334267436196
23,77.72987752034187
24,64.89515848479718
25,76.07479671137122
26,84.10465359029916
27,93.53062078551662
28,85.56520484734918
29,65.84962031365352
30,91.45773292558148
31,68.06091884360633
32,61.957410159728
33,96.37652463911218
34,85.8518651142973
35,90.59938878009777
36,60.04920999584831
37,83.98693079750147
38,93.824183266494
39,84.44224349416777
40,71.84618961373
41,94.52635136409702
42,85.71137628036715
43,83.90461693079801
44,101.82671089515688
45,94.32250091591685
46,85.65776566511316
47,83.82201038333807
48,95.31854225484095
49,97.46991061105967
50,82.23754707082684
